,Question Type,Incorrect/Correct,Response Scores,Confidence,Response Source,Participant ID,Question ID
0,AI_or_Human,Correct,1,4.9,Doctor,62e04413fd91f451e42d558d,1_D_Conditions_6
1,AI_or_Human,Incorrect,0,3.5,Doctor,61168a8a8f1af03dd4032af4,1_D_Conditions_6
2,AI_or_Human,Incorrect,0,4.1,Doctor,5d85150104ad7f00180935d1,1_D_Conditions_6
3,AI_or_Human,Incorrect,0,3.4,Doctor,6310f7cc10a0cd8f6156091f,1_D_Conditions_6
4,AI_or_Human,Incorrect,0,4.1,Doctor,5ea9d795dec14d13eb7af3d9,1_D_Conditions_6
5,AI_or_Human,Incorrect,0,3.9,Doctor,62d353684494ab8119aa42d8,1_D_Conditions_6
6,AI_or_Human,Incorrect,0,3.0,Doctor,54e32a60fdf99b3eae9de85b,1_D_Conditions_6
7,AI_or_Human,Incorrect,0,4.3,Doctor,5f7e4fbc36d39211c80599fe,1_D_Conditions_6
8,AI_or_Human,Correct,1,4.1,Doctor,61158ba946af0dc7c3a6c5fd,1_D_Conditions_6
9,AI_or_Human,Correct,1,3.0,Doctor,61534251f98a9e4929d81c2b,1_D_Conditions_6
10,AI_or_Human,Incorrect,0,3.0,Doctor,6234bc51939438b05a4adfb9,1_D_Conditions_6
11,AI_or_Human,Correct,1,3.5,Doctor,5c492c7167b61b000190bfe8,1_D_Conditions_6
12,AI_or_Human,Incorrect,0,4.5,Doctor,5b197b8088ee7400012ae154,1_D_Conditions_6
13,AI_or_Human,Incorrect,0,3.3,Doctor,63cd7b78fff71624a85b294f,1_D_Conditions_6
14,AI_or_Human,Incorrect,0,4.7,Doctor,5d4345e9be616d0001f786cd,1_D_Conditions_6
15,AI_or_Human,Correct,1,2.3,Doctor,61452f580953ba50efed1036,1_D_Diagnostics_6
16,AI_or_Human,Incorrect,0,3.0,Doctor,5bd6656a669ee1000145304a,1_D_Diagnostics_6
17,AI_or_Human,Incorrect,0,4.5,Doctor,5cc22481f6ef910019e5120f,1_D_Diagnostics_6
18,AI_or_Human,Correct,1,4.5,Doctor,5fb08ec5ddc19949a58f5a4f,1_D_Diagnostics_6
19,AI_or_Human,Incorrect,0,5.0,Doctor,54e32a60fdf99b3eae9de85b,1_D_Diagnostics_6
20,AI_or_Human,Incorrect,0,5.0,Doctor,5d5606cd4171ec00182e2b15,1_D_Diagnostics_6
21,AI_or_Human,Correct,1,2.2,Doctor,55a9f6a1fdf99b2d81b5295f,1_D_Diagnostics_6
22,AI_or_Human,Incorrect,0,4.0,Doctor,63d5528c99d44c28a0f4040e,1_D_Diagnostics_6
23,AI_or_Human,Correct,1,5.0,Doctor,57d6b1718e00270001b430cc,1_D_Diagnostics_6
24,AI_or_Human,Correct,1,4.1,Doctor,5bd6656a669ee1000145304a,1_D_Medications_6
25,AI_or_Human,Correct,1,3.9,Doctor,5e8a3f722cea2006283e0e45,1_D_Medications_6
26,AI_or_Human,Correct,1,5.0,Doctor,5d85150104ad7f00180935d1,1_D_Medications_6
27,AI_or_Human,Correct,1,5.0,Doctor,5ef32f0aeb0c9103d56a8558,1_D_Medications_6
28,AI_or_Human,Correct,1,3.5,Doctor,5ef00061e45c1f1988455df5,1_D_Medications_6
29,AI_or_Human,Correct,1,3.0,Doctor,61097e0464a4a922602d495b,1_D_Medications_6
30,AI_or_Human,Correct,1,4.2,Doctor,61158ba946af0dc7c3a6c5fd,1_D_Medications_6
31,AI_or_Human,Correct,1,4.1,Doctor,5b0ce8bb9663ee00014597fb,1_D_Medications_6
32,AI_or_Human,Correct,1,4.9,Doctor,57d6b1718e00270001b430cc,1_D_Medications_6
33,AI_or_Human,Incorrect,0,5.0,Doctor,6150b569f783a47ea40a79a4,1_D_Medications_6
34,AI_or_Human,Incorrect,0,4.4,Doctor,57b560e4a18afd00013e0579,1_D_Preventative_6
35,AI_or_Human,Incorrect,0,2.3,Doctor,5bdbf2d92562330001b8d056,1_D_Preventative_6
36,AI_or_Human,Incorrect,0,3.4,Doctor,5e8a3f722cea2006283e0e45,1_D_Preventative_6
37,AI_or_Human,Incorrect,0,4.1,Doctor,6132cc931d18eb3ce734accf,1_D_Preventative_6
38,AI_or_Human,Correct,1,3.0,Doctor,60fcdd362d1a5e0d012b91f0,1_D_Preventative_6
39,AI_or_Human,Incorrect,0,2.5,Doctor,61097e0464a4a922602d495b,1_D_Preventative_6
40,AI_or_Human,Incorrect,0,4.2,Doctor,614ca018863895a0b6724719,1_D_Preventative_6
41,AI_or_Human,Correct,1,4.1,Doctor,63d7bf544bb172f5766a3791,1_D_Preventative_6
42,AI_or_Human,Correct,1,4.2,Doctor,60b7e08463067cb8330e0d8d,1_D_Procedures_6
43,AI_or_Human,Correct,1,3.7,Doctor,60fd703323341ff48a496d12,1_D_Procedures_6
