,,,,,ACCURACY,,,,,
,,,,,,,,,,
Q ID,Medical Domain,Question,Doctors' Response,AI-Generated Response,Evaluator #1 Score,Evaluator #2 Score,Evaluator #3 Score,Evaluator #4 Score,Composite Score,Response Category
5A,Preventative + Risk Factors,What are general tips for preventing injury duing physical exercise?,"Several things: 1) try to incorporate variety, in both the exercises you do and intensity of your workouts 2) in general, if something hurts, avoid it - at least in the short term 3) don't be rigid in your workouts, regardless of what you have plan for a day's routine, be flexible about changing things up if something hurts or you are just not feeling well","1. Start with a warm-up: Getting your body warm before you exercise will help to prevent injuries. A warm-up can be as simple as a short walk or jog followed by some light stretching.  2. Use proper form: Make sure you are using the proper form for the exercises you are doing. This will help to prevent injuries and also help you to get the most out of your workout.  3. Don't push yourself too hard: It's important to listen to your body and not push yourself too hard. If you are feeling pain, stop the exercise and rest.  4. Cool down and stretch: Once you are finished with your workout, it's important to cool down and stretch. This will help your muscles to recover and prevent injuries.",3,3,3,3,12,High Accuracy AI
7A,Preventative + Risk Factors,If appendicitis is so common why is there no known way to prevent it?,Appendicitis: That something is common and problematic does not make it any more preventable. There have been considerable efforts in the past and currently to try to prevent appendicitis. Presently nothing is completely effective. Maintaining optimal health for now is your best bet.,There is no known way to prevent appendicitis.,3,1,3,3,10,High Accuracy AI
11A,Preventative + Risk Factors,Why diabetes mellitus is risk factor tuberculosis?,"Immune function: Diabetes, especially uncontrolled diabetes, causes neutrophils to not behave as well as they should, so infections are both more likely and more frequent. Tuberculosis is one of these, and tends to be more severe in a poorly controlled diabetic.","There are a few ways that diabetes mellitus can increase the risk of tuberculosis:  1) People with diabetes mellitus are more likely to have underlying conditions that make them more susceptible to tuberculosis, such as HIV/AIDS, malnutrition, or liver disease.  2) Diabetes mellitus can weaken the immune system, making it more difficult for the body to fight off infection.  3) People with diabetes mellitus are more likely to have diabetes-related complications such as nerve damage, which can make it difficult to cough and clear the lungs of bacteria.  4) People with diabetes mellitus are more likely to develop pulmonary complications from tuberculosis, such as cavities in the lungs.",2,3,3,2,10,High Accuracy AI
15A,Preventative + Risk Factors,Is there risk of brain damage after having neonatal meningitis? ,"Continue taking your: Child to early intervention (http://www.Health.Ny.Gov/community/infants_children/early_intervention/) to monitor his hearing & development till age 3, then to your public school district's child find for evaluation, since learning disabilities, fine motor delays & attention problems may not show up till school-age. Severe motor or cognitive impairments would've been found on testing by now.",There is risk of brain damage after having neonatal meningitis.,3,3,3,2,11,High Accuracy AI
25A,Preventative + Risk Factors,Can medications cause peripheral nerve disorders?,"Yes: There are some medications that are associated with peripheral neuropathy, especially some chemotherapy agents. Some of these can be at least partially counteracted by vitamin supplementation, but it varies from drug to drug.","There are many potential causes of peripheral nerve disorders, and medications are one possible cause. Medications that can cause peripheral nerve disorders include certain cancer treatments, diabetes medications, and certain antibiotics.",2,2,3,3,10,High Accuracy AI
12A,Preventative + Risk Factors,Are recurrent yeast infections a sign of diabets? I am 21 years old. No other symptoms of diabetes. Could it be due to diabetes or tuberculosis?,"Recurrent yeast: infections can be seen in diabetes, but are more common with poor female hygiene, infected sexual partner, etc. Doubt you have diabetes and certainly not tb.","There is no known link between recurrent yeast infections and diabetes. However, both diabetes and tuberculosis can cause a wide range of other symptoms, so if you are experiencing any other symptoms that are concerning you, it is best to consult with a healthcare provider to determine the cause.",1,1,1,1,4,Low Accuracy AI
14A,Preventative + Risk Factors,"2 yr old. Recurring fevers. Blood work shows- LDH/CRP normal, white count 3,300 w/ range of 5,000-17,000, a lot of monocytes. Cancer concerns?",More likely viral: The results you have described are more consistent with a viral infection rather than cancer. A repeated CBC can help confirm this assumption if the concern remains.,Fevers are often due to infections. I would recommend seeing her doctor to make sure she doesn't have an infection going on.,3,3,1,2,9,Low Accuracy AI
16A,Preventative + Risk Factors,What is the frequency of fatal or irreversible brain damage from hypoglycemia?,"Not uncommon: When Insulin first came out, back in 1921 the fatalities from hypoglycemia were quite common. Now, the monitoring, accurate finger stick readings and understanding of how Insulin works, delays and quick carb tabs for low sugars makes the fatalities much less common. Still very important to work with your team of docs to prevent low blood sugars and brain damage.","There is no definitive answer to this question as the frequency of fatal or irreversible brain damage from hypoglycemia varies depending on the individual's overall health, medical history, and severity of the hypoglycemia. However, it is estimated that the risk of brain damage from hypoglycemia is approximately 1 in 1,000 cases.",3,2,2,1,8,Low Accuracy AI
18A,Preventative + Risk Factors,How long can a diabetic who administered too much insulin be unconscious from hypoglycaemia before they are brain dead or in a coma?,"Emergent.: The answer is “variable”. Depends on how much insulin, whether it’s long-acting or short-acting, how quickly the blood sugar goes down. Regardless, it’s too much thinking about an issue that would require emergent attention. If a diabetic becomes hypoglycemic and symptomatic from insulin, emergency services have to be called immediately: 9-1-1!","If a diabetic who has administered too much insulin is unconscious from hypoglycemia, they could be in a coma within 20 minutes and brain dead within an hour.",3,1,2,1,7,Low Accuracy AI
19A,Preventative + Risk Factors,"Can the exhalation cloud from an coronavirus-infected person that is vaping infect multiple people over a large area? That vape cloud travels far, and the scent even farther.","COVID 19: Second hand smoke can transmit the virus. However, I don't believe that the link has yet been established that vape clouds transmits COVID 19. It can if the vaping person coughs. There can also be hand to mouth contamination with the vaping utensil. REF: https://www.dailymail.co.uk/news/article-8143385/Coronavirus-NOT-spread-vape-clouds-unless-e-cigarette-user-coughs.html","The exhalation cloud from an coronavirus-infected person that is vaping can infect multiple people over a large area. The vape cloud travels far, and the scent even farther.",1,1,1,2,5,Low Accuracy AI
2A,Preventative + Risk Factors,What are the risk factors for high risk pregnancies?,"Threats to baby, mom: Risk factors include conditions that might affect the health of the fetus and/or pregnant woman. Those include higher chance for birth defects, >1 baby, prior preterm birth, diabetes, history of eclampsia. Many women at high risk for pregnancy complications have healthy babies, but they probably saw perinatologists, had extra testing or imaging, or underwent treatments or delivery with nicu aware.","The risk factors for high risk pregnancies include:  -Being over the age of 35 -Having a history of high blood pressure, diabetes, or other chronic health conditions -Being pregnant with more than one baby -Having a history of miscarriages -Being pregnant with a baby that has a birth defect",1,3,3,3,10,Doctor
3A,Preventative + Risk Factors,How can I prevent a cold?,"Handwashing: The only real way to prevent a cold is to stay away from all other human beings during cold season. Since that's neither possible nor desirable, the next best thing is to wash your hands frequently when a cold is circulating, and not get too upset when it happens.","There is no guaranteed way to prevent a cold, but there are some things you can do to reduce your risk: -Wash your hands regularly and often, especially before you eat -Avoid touching your face -Stay away from sick people -Drink plenty of fluids -Eat a healthy diet -Exercise regularly -Get enough sleep",3,3,3,3,12,Doctor
9A,Preventative + Risk Factors,"I notice the top section of the spine of my 7 year old son seems bent, with one shoulder higher than other. Anything to worry about?",Scoliosis: I would worry he might have scoliosis one shoulder higher than other is a physical sign of scoliosis im sure an exam by pediatrician can sort it out or family medicine.,"There are many possible causes of a bent spine or uneven shoulders, including scoliosis, kyphosis, and poor posture. If your son is otherwise healthy and has no pain, then his condition is likely not serious. However, you should consult with a doctor or spine specialist to be sure.",3,3,2,3,11,Doctor
21A,Preventative + Risk Factors,For steady-state cardio days. Is it better to do one 60 min workout or two 30 min. Goal of fat loss. I do hiit and weights 4 other days.?,"Depends on Calories: Exercise burns calories & can lead to weight loss. But it depends on how many calories you take in (No matter what the calories are made of). For example, Walking or running 1 mile only burns about 100 calories. The most you can usu. burn in an hour is about 500 cals with extreme exercise (cross- country skiing). So exercise for 2 hours & eat a 16-oz steak- may make you gain wt! Count calories!","There is no definitive answer, as it depends on individual goals, schedules, and preferences. However, in general, it is recommended that people looking to lose fat do moderate-intensity steady-state cardio (such as walking or jogging) for 30-60 minutes per session, 5-6 days per week.",3,3,2,3,11,Doctor
23A,Preventative + Risk Factors,Possible torn meniscus. How should I be using more caution?,No twisting.: Avoid twisting/pivoting on that leg. Usually walking is ok,"If you think you may have a torn meniscus, you should see a doctor as soon as possible. In the meantime, you should avoid activities that put stress on your knees, such as running or jumping.",2,3,3,2,10,Doctor
